;01;04;07;10;13;16;19;22;25;28;31;34;37;40;43;46;49;52;55;58
 09;0-0;1-1;0-0;3-0;1-0;3-0;0-0;1-2;1-2;2-2;2-2;1-3;0-1;0-1;1-2;1-4;2-0;1-1;1-0;0-0
 08;1-3;2-0;0-0;0-1;2-1;3-1;1-3;3-1;2-2;1-1;2-3;1-3;0-1;0-1;2-2;1-0;0-3;2-1;2-0;0-0
 07;2-1;2-0;0-3;3-0;1-1;4-1;0-3;2-2;1-3;0-3;2-3;1-0;1-0;2-5+;0-3;1-0;1-0;2-2;1-1;1-0
 06;0-1;0-1;0-1;3-0;3-4;1-0;2-1;1-2;1-5+;0-0;0-3;1-0;3-0;0-2;1-1;1-2;1-0;1-0;0-0;3-0
 05;2-0;0-0;1-3;2-0;2-1;2-0;1-3;0-2;1-1;1-2;2-0;2-0;0-5+;3-3;1-0;3-2;2-1;1-0;0-1;0-0
 04;0-1;1-0;0-1;1-3;1-1;3-3;0-4;2-0;0-3;0-1;0-1;0-0;1-1;2-2;0-3;0-0;1-0;2-1;1-0;0-0
 03;2-2;1-1;1-0;1-1;0-3;1-4;4-2;4-3;1-1;0-1;1-2;3-3;0-2;3-2;0-3;1-1;0-1;2-2;2-2;0-1
 02;2-1;1-1;1-1;1-0;1-4;2-2;1-1;2-0;3-3;0-4;4-2;0-0;2-1;0-1;1-2;0-1;0-1;1-1;2-1;3-1
 01;5+-3;1-3;4-1;2-0;2-1;0-0;2-0;1-2;1-1;2-0;0-1;2-5+;1-1;4-1;3-0;0-1;1-2;1-1;1-2;2-2
 00;1-0;1-0;0-2;2-0;0-0;0-2;1-2;3-2;2-2;4-0;0-2;1-0;1-0;1-0;0-1;1-1;1-1;0-1;0-1;1-0
 23;0-1;1-1;3-0;0-0;1-3;0-0;2-0;0-1;3-2;0-0;0-3;3-1;2-4;0-1;1-0;1-0;1-0;2-0;3-0;3-0
 22;4-1;1-2;1-2;0-0;1-3;0-2;2-4;1-0;2-0;1-1;1-0;0-3;0-2;0-1;0-1;2-3;0-1;0-0;2-1;2-2
 21;1-1;3-2;1-3;0-3;0-0;2-0;1-0;2-1;0-1;1-1;3-0;1-2;0-2;3-1;0-1;2-2;1-1;1-1;0-2;4-0
 20;0-1;2-1;3-1;0-0;1-2;2-2;2-1;0-1;0-1;2-1;1-3;1-1;1-2;2-0;1-1;0-2;2-0;3-2;1-5+;1-1
 19;0-1;0-1;1-1;1-0;2-2;2-1;2-1;0-0;4-1;0-1;2-0;1-1;1-1;3-1;0-0;1-3;1-1;1-0;2-2;0-1
 18;1-3;2-2;1-0;1-0;0-0;0-2;1-0;0-1;0-1;0-0;2-1;1-1;2-4;1-2;1-1;3-0;2-1;2-0;0-0;0-1
 17;3-0;3-2;1-1;0-2;1-1;2-0;2-3;2-2;2-2;0-0;1-2;3-1;3-1;3-0;0-1;3-1;1-1;1-1;1-0;1-0
 16;1-2;1-1;0-2;1-1;2-1;1-0;1-1;3-1;1-1;0-2;3-2;2-4;1-3;0-1;1-0;0-3;2-2;0-2;1-1;3-2
 15;0-0;1-1;1-4;2-0;1-4;0-1;1-1;0-0;3-1;2-3;2-1;1-0;0-1;2-0;2-2;2-2;1-1;1-4;0-0;0-1
 14;1-0;1-1;0-0;0-2;0-1;2-2;0-2;1-3;0-1;0-1;1-1;1-1;2-0;1-1;4-0;0-0;1-1;2-1;1-1;0-1
 13;3-1;0-1;2-2;1-0;0-0;1-5+;0-0;3-2;0-0;1-0;0-1;0-3;1-0;0-2;2-0;2-2;2-0;1-1;2-2;0-0
 12;1-5+;2-3;2-2;2-2;0-2;3-0;3-3;2-0;1-2;1-0;1-1;2-0;2-0;0-1;1-0;2-3;3-0;0-1;2-0;0-1
 11;0-1;2-0;2-4;1-1;1-0;1-2;1-2;0-0;1-3;2-0;1-0;3-1;0-1;2-0;0-3;1-0;2-0;0-2;1-2;1-0
 10;0-0;0-1;2-2;0-1;1-2;2-2;0-0;3-3;1-2;3-0;2-2;2-0;2-0;1-2;1-0;1-0;2-2;2-2;0-0;0-0
 09;1-1;1-0;1-0;1-1;1-1;1-1;2-0;1-4;3-1;0-1;1-3;2-1;2-1;1-1;2-0;0-1;0-2;1-4;1-2;0-1
 08;1-1;1-2;0-2;1-1;5+-2;0-1;2-2;0-3;3-2;2-1;0-0;0-1;2-0;0-0;1-1;1-2;1-0;1-3;1-2;1-1
 07;1-4;1-3;2-2;4-2;0-1;1-0;1-3;2-1;1-3;0-1;1-2;1-3;3-0;0-2;0-1;2-3;2-1;1-1;0-0;1-0
 06;0-2;1-0;1-1;0-2;2-0;0-1;1-4;0-0;1-0;4-1;1-0;1-3;0-1;2-1;0-4;3-2;1-1;0-0;1-1;1-0
 05;0-2;1-1;3-1;4-1;1-1;1-1;1-1;1-3;1-3;4-2;2-0;1-2;1-2;1-1;0-1;2-2;1-0;3-1;2-0;0-2
 04;0-3;2-2;3-2;1-1;0-0;2-2;0-1;1-0;1-1;1-0;0-0;2-2;0-2;1-1;3-2;3-1;1-1;2-0;2-1;1-0
 03;2-1;0-2;2-1;2-3;0-2;1-0;0-2;2-3;2-0;3-0;0-0;2-1;1-0;2-3;2-0;2-0;1-0;1-2;0-0;1-0
 02;0-1;1-1;0-2;2-0;2-4;1-1;3-2;1-1;2-0;1-0;1-0;1-0;1-1;3-0;1-1;1-0;3-0;0-2;0-0;0-1
 01;1-0;2-2;1-0;2-1;1-0;1-2;1-1;1-4;1-0;0-2;2-0;0-1;0-1;2-0;0-2;0-1;1-1;1-2;2-1;1-0
 00;0-0;1-2;3-1;3-1;0-4;0-1;0-0;0-1;1-0;1-1;0-2;0-0;1-0;1-1;2-1;2-0;1-0;4-2;0-2;2-1
 23;5+-3;0-1;1-0;0-2;3-2;5+-2;2-1;1-0;3-0;2-1;2-0;0-1;1-3;0-1;0-0;2-1;1-2;1-1;2-2;1-0
 22;0-0;1-0;0-1;3-1;2-3;1-1;0-1;1-0;2-2;1-1;0-1;1-0;0-1;2-0;2-1;0-2;2-2;2-1;0-0;2-1
 21;1-4;2-2;2-3;1-1;0-2;1-1;0-3;1-3;1-1;3-0;0-1;1-0;2-2;1-2;0-0;4-3;3-1;0-1;2-0;0-2
 20;2-2;0-1;0-3;1-0;1-0;1-3;2-0;1-0;0-1;4-2;2-3;2-2;1-2;1-1;4-0;2-1;1-2;0-2;2-0;1-4
 19;0-0;1-1;3-1;1-1;1-0;2-1;2-0;0-0;3-1;1-1;0-1;1-0;1-0;4-1;1-2;1-1;3-1;2-1;1-1;0-1
23;0-1;2-3;2-1;1-2;0-4;2-1;1-0;1-0;2-2;1-2;1-1;2-2;2-1;0-2;1-1;2-0;3-1;1-2;0-2;1-2
 22;1-0;2-0;2-0;0-2;0-1;1-2;0-2;1-0;3-1;0-0;1-0;2-2;2-0;3-0;2-1;1-2;0-3;0-0;0-1;0-4
 21;2-1;2-0;1-1;0-4;2-0;4-3;0-2;1-1;0-1;2-0;1-0;1-1;3-1;0-0;0-1;2-1;2-2;4-1;2-2;2-1
 20;0-1;0-1;0-3;1-1;2-1;1-1;2-1;4-3;1-1;0-1;1-1;2-2;1-4;2-2;0-0;0-2;1-1;1-1;2-0;3-0
 19;0-1;2-3;2-1;1-2;0-4;2-1;1-0;1-0;2-2;1-2;1-1;2-2;2-1;0-2;1-1;2-0;3-1;1-2;0-2;1-2
 18;1-4;0-0;0-1;1-3;0-0;2-1;0-1;0-0;1-1;0-1;2-0;3-2;0-0;1-1;0-0;1-3;3-3;4-3;1-1;0-3
