%;43;45;41;48;40;39;42;38;44;45;43;45;35;32;36;38;47;42;53;30;%
;49%;52%;48%;56%;47%;46%;49%;45%;52%;53%;51%;52%;41%;37%;42%;44%;55%;49%;62%;35%;
 15;0-0;1-1;1-4;2-0;1-4;0-1;1-1;0-0;3-1;2-3;2-1;1-0;0-1;2-0;2-2;2-2;1-1;1-4;0-0;0-1;(55%)
 14;1-0;1-1;0-0;0-2;0-1;2-2;0-2;1-3;0-1;0-1;1-1;1-1;2-0;1-1;4-0;0-0;1-1;2-1;1-1;0-1;(70%)
 13;3-1;0-1;2-2;1-0;0-0;1-5+;0-0;3-2;0-0;1-0;0-1;0-3;1-0;0-2;2-0;2-2;2-0;1-1;2-2;0-0;(60%)
 12;1-5+;2-3;2-2;2-2;0-2;3-0;3-3;2-0;1-2;1-0;1-1;2-0;2-0;0-1;1-0;2-3;3-0;0-1;2-0;0-1;(40%)
 11;0-1;2-0;2-4;1-1;1-0;1-2;1-2;0-0;1-3;2-0;1-0;3-1;0-1;2-0;0-3;1-0;2-0;0-2;1-2;1-0;(45%)
 10;0-0;0-1;2-2;0-1;1-2;2-2;0-0;3-3;1-2;3-0;2-2;2-0;2-0;1-2;1-0;1-0;2-2;2-2;0-0;0-0;(55%)
 09;1-1;1-0;1-0;1-1;1-1;1-1;2-0;1-4;3-1;0-1;1-3;2-1;2-1;1-1;2-0;0-1;0-2;1-4;1-2;0-1;(50%)
 08;1-1;1-2;0-2;1-1;5+-2;0-1;2-2;0-3;3-2;2-1;0-0;0-1;2-0;0-0;1-1;1-2;1-0;1-3;1-2;1-1;(50%)
 07;1-4;1-3;2-2;4-2;0-1;1-0;1-3;2-1;1-3;0-1;1-2;1-3;3-0;0-2;0-1;2-3;2-1;1-1;0-0;1-0;(40%)
 06;0-2;1-0;1-1;0-2;2-0;0-1;1-4;0-0;1-0;4-1;1-0;1-3;0-1;2-1;0-4;3-2;1-1;0-0;1-1;1-0;(50%)
 05;0-2;1-1;3-1;4-1;1-1;1-1;1-1;1-3;1-3;4-2;2-0;1-2;1-2;1-1;0-1;2-2;1-0;3-1;2-0;0-2;(70%)
 04;0-3;2-2;3-2;1-1;0-0;2-2;0-1;1-0;1-1;1-0;0-0;2-2;0-2;1-1;3-2;3-1;1-1;2-0;2-1;1-0;(60%)
 03;2-1;0-2;2-1;2-3;0-2;1-0;0-2;2-3;2-0;3-0;0-0;2-1;1-0;2-3;2-0;2-0;1-0;1-2;0-0;1-0;(40%)
 02;0-1;1-1;0-2;2-0;2-4;1-1;3-2;1-1;2-0;1-0;1-0;1-0;1-1;3-0;1-1;1-0;3-0;0-2;0-0;0-1;(50%)
 01;1-0;2-2;1-0;2-1;1-0;1-2;1-1;1-4;1-0;0-2;2-0;0-1;0-1;2-0;0-2;0-1;1-1;1-2;2-1;1-0;(35%)
 00;0-0;1-2;3-1;3-1;0-4;0-1;0-0;0-1;1-0;1-1;0-2;0-0;1-0;1-1;2-1;2-0;1-0;4-2;0-2;2-1;(55%)
 23;5+-3;0-1;1-0;0-2;3-2;5+-2;2-1;1-0;3-0;2-1;2-0;0-1;1-3;0-1;0-0;2-1;1-2;1-1;2-2;1-0;(30%)
 22;0-0;1-0;0-1;3-1;2-3;1-1;0-1;1-0;2-2;1-1;0-1;1-0;0-1;2-0;2-1;0-2;2-2;2-1;0-0;2-1;(45%)
 21;1-4;2-2;2-3;1-1;0-2;1-1;0-3;1-3;1-1;3-0;0-1;1-0;2-2;1-2;0-0;4-3;3-1;0-1;2-0;0-2;(55%)
 20;2-2;0-1;0-3;1-0;1-0;1-3;2-0;1-0;0-1;4-2;2-3;2-2;1-2;1-1;4-0;2-1;1-2;0-2;2-0;1-4;(40%)
 19;0-0;1-1;3-1;1-1;1-0;2-1;2-0;0-0;3-1;1-1;0-1;1-0;1-0;4-1;1-2;1-1;3-1;2-1;1-1;0-1;(55%)
23;0-1;2-3;2-1;1-2;0-4;2-1;1-0;1-0;2-2;1-2;1-1;2-2;2-1;0-2;1-1;2-0;3-1;1-2;0-2;1-2;Dados
 22;1-0;2-0;2-0;0-2;0-1;1-2;0-2;1-0;3-1;0-0;1-0;2-2;2-0;3-0;2-1;1-2;0-3;0-0;0-1;0-4;(50%)
 21;2-1;2-0;1-1;0-4;2-0;4-3;0-2;1-1;0-1;2-0;1-0;1-1;3-1;0-0;0-1;2-1;2-2;4-1;2-2;2-1;(60%)
 20;0-1;0-1;0-3;1-1;2-1;1-1;2-1;4-3;1-1;0-1;1-1;2-2;1-4;2-2;0-0;0-2;1-1;1-1;2-0;3-0;(55%)
 19;0-1;2-3;2-1;1-2;0-4;2-1;1-0;1-0;2-2;1-2;1-1;2-2;2-1;0-2;1-1;2-0;3-1;1-2;0-2;1-2;(45%)
 18;1-4;0-0;0-1;1-3;0-0;2-1;0-1;0-0;1-1;0-1;2-0;3-2;0-0;1-1;0-0;1-3;3-3;4-3;1-1;0-3;(55%)
Hora;1;4;7;10;13;16;19;22;25;28;31;34;37;40;43;46;49;52;55;58;Dados
